# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2005-10-31;1.2023;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2005-11-30;1.1769;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2005-12-31;1.1797;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-01-31;1.2118;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-02-28;1.1875;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-03-31;1.2104;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-04-30;1.2537;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-05-31;1.2868;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-06-30;1.2713;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-07-31;1.2767;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-08-31;1.2851;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-09-30;1.2660;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-10-31;1.2696;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-11-30;1.3200;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2006-12-31;1.3170;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-01-31;1.2954;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-02-28;1.3211;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-03-31;1.3318;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-04-30;1.3605;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-05-31;1.3453;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-06-30;1.3505;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-07-31;1.3707;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-08-31;1.3705;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-09-30;1.4179;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-10-31;1.4447;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-11-30;1.4761;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2007-12-31;1.4721;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-01-31;1.4870;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-02-29;1.5167;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-03-31;1.5812;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-04-30;1.5540;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-05-31;1.5508;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-06-30;1.5764;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-07-31;1.5611;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-08-31;1.4735;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-09-30;1.4303;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-10-31;1.2757;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-11-30;1.2727;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2008-12-31;1.3917;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-01-31;1.2816;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-02-28;1.2644;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-03-31;1.3308;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-04-30;1.3275;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-05-31;1.4098;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-06-30;1.4134;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-07-31;1.4138;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-08-31;1.4272;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-09-30;1.4643;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-10-31;1.4800;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-11-30;1.5023;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2009-12-31;1.4406;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-01-31;1.3966;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-02-28;1.3570;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-03-31;1.3479;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-04-30;1.3315;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-05-31;1.2307;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-06-30;1.2271;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-07-31;1.3028;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-08-31;1.2680;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-09-30;1.3648;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-10-31;1.3857;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-11-30;1.2998;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2010-12-31;1.3362;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-01-31;1.3692;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-02-28;1.3834;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-03-31;1.4207;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-04-30;1.4860;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-05-31;1.4385;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-06-30;1.4453;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-07-31;1.4260;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-08-31;1.4450;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-09-30;1.3503;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-10-31;1.4001;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-11-30;1.3418;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2011-12-31;1.2939;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-01-31;1.3176;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-02-29;1.3443;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-03-31;1.3356;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-04-30;1.3214;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-05-31;1.2403;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-06-30;1.2590;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-07-31;1.2284;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-08-31;1.2611;
