Date,epu_pt_epu,inflation_target,PPIPT_ppi,GS1_fred-md,GS5_fred-md,OILPRICEx_fred-md_Eur,CUSR0000SAC_fred-md,PCEPI_fred-md,EMPENT_PT_ea-qd,REER42_PT_ea-md,HICPOV_PT_ea-md,HICPNEF_PT_ea-md,HICPSV_PT_ea-md,HICPNG_PT_ea-md,DFGDP_PT_ea-qd,CCONFIX_PT_ea-md,GDP_PT_ea-qd,ULCIN_PT_ea-qd,EXPGS_PT_ea-qd,IMPGS_PT_ea-qd,CCI_PT_ea-md,UNETOT_PT_ea-md
2014-05-01,99.46652257597358,-0.30000000000000004,1.7227665977411035,-0.009999999999999995,-0.10999999999999988,0.026811890711281983,0.0033217862046273083,0.003423354308941029,-0.3607405469188585,-0.3264199999999988,-0.005668615810794364,0.1263494691563949,0.09918965121844536,0.1261965369041107,0.07864120070166791,-24.6,0.09211410072715864,-0.20854999003940833,0.9979681140638519,0.9310558128401425,97.93766,-0.1999999999999993
2014-06-01,86.32021009155173,0.0,1.7404661748405046,0.0,0.08999999999999986,0.04975694667772679,0.0010271290002741296,0.0027388814485442836,-0.0044195798353463545,-0.37386000000000763,0.17969421357042492,0.1708477234156014,0.19317318640377223,0.23724686498169945,-0.7789056861262189,-25.2,0.09202932873257907,-0.0631969450892278,0.9677787851209985,0.985784820418445,98.10025,-0.09999999999999964
2014-07-01,75.91590142280297,-0.5,1.667706820558076,0.009999999999999995,0.020000000000000018,0.030602888884597945,0.0005455002981937795,0.002508508650750585,0.6510715873236705,-0.33944999999999936,-0.1838586937315867,-0.28496582604198295,0.1611504106565853,0.29130844989246896,0.9410853495337435,-22.1,0.03516976253550297,0.08581025947504983,0.5942700836586212,0.8755058789191139,98.32866,-0.20000000000000107
2014-08-01,80.52815600680556,0.5,1.7047480922384253,0.0,-0.07000000000000006,-0.05648046143692387,-0.0023257857358371936,0.0012947513009367029,0.9540986580168109,-0.42503999999999564,0.15828899286836062,0.2944185555883827,0.2887040634939275,-0.5227989182735371,0.08366339139804779,-23.6,0.03515739776212001,0.100712914029355,0.3917989598955174,0.8527792784761346,98.51979,-0.6999999999999993
2014-09-01,74.2401620235619,0.0,1.7047480922384253,0.0,0.14000000000000012,-0.04424617111529372,-0.003861971326131197,0.00022586805295077284,0.6671660757912257,-0.4480599999999981,-0.037889774660726516,-0.163900424890695,-0.2776955638496226,0.1668757108810759,-0.3829568616525947,-20.0,0.035145041679918165,-0.06509025026417703,0.40430123202011004,0.8626254578786074,98.77912,-0.1999999999999993
2014-10-01,100.3361599776853,0.4,1.6863989535702286,-0.009999999999999995,-0.21999999999999997,-0.08272950688511038,-0.005382190115112984,5.134445455379222e-05,-0.014348784835771511,-0.0732799999999969,0.0026021623988903286,-0.09827871617202888,-0.1740442528035402,-1.1786023514141597,0.5502169015799474,-18.6,0.2694125722278784,-0.29719442309028565,0.5850650575348837,0.8675607136622077,98.93263,0.1999999999999993
2014-11-01,87.1882426206569,0.0,1.7227665977411035,0.03,0.07000000000000006,-0.19890967630821077,-0.011127854004866933,-0.0012531844848231444,-0.47115317701980075,-0.039170000000012806,0.18452148772052368,0.2571712919380076,0.3569667954333333,-1.1006299178463408,0.08641324194753608,-21.5,0.2686886906785091,-0.22351087309688822,0.8121769443690141,0.8075761712422747,98.98022,-0.09999999999999964
2014-12-01,88.2797888875975,-0.4,1.4350845252893225,0.07999999999999999,0.019999999999999796,-0.32206809498031364,-0.018878895835381826,-0.002714598796107026,-0.5295905433576387,0.6417300000000097,0.04138342729174127,0.28842624492284585,0.486488968802945,-2.985839533001844,-1.2508320102161186,-20.0,0.26796868868554924,0.2776918108580162,0.9498397757861099,0.5459019202570303,99.21933,0.09999999999999964
2015-01-01,97.14552482693531,0.0,1.3862943611198906,-0.009999999999999981,-0.2699999999999998,-0.37402621322759044,-0.03143060494447436,-0.0065688962392975725,-0.30517977533328633,-1.9638300000000015,-0.3077922667779731,-0.28413179961317425,-0.04427675988409874,-1.4482199374988625,1.423831396637798,-15.2,0.19964600554782663,1.032544895667975,1.0796267002739057,0.2748933076476945,99.62321,0.0
2015-02-01,104.1234391047903,0.2,0.9555114450274363,0.01999999999999999,0.09999999999999987,-0.08177510638116425,-0.01580779143240818,-0.0030421019103723523,-0.02015426446133617,-1.2283400000000029,0.3069849913578615,0.1469936611924183,0.3239595247007898,1.8230297053920097,0.08949586964401846,-15.1,0.1992482143149843,1.2779533073986826,0.9802761502095692,0.3615046633305141,99.89885,-0.09999999999999964
