Date,PPIPT
2017-02-01,93.5
2017-03-01,93.2
2017-04-01,93.2
2017-05-01,93.0
2017-06-01,93.1
2017-07-01,93.2
2017-08-01,93.3
2017-09-01,93.4
2017-10-01,93.6
2017-11-01,93.7
2017-12-01,93.5
2018-01-01,94.6
2018-02-01,94.4
2018-03-01,93.6
2018-04-01,94.0
2018-05-01,95.7
2018-06-01,96.4
2018-07-01,96.7
2018-08-01,97.0
2018-09-01,97.4
2018-10-01,97.4
2018-11-01,96.4
2018-12-01,95.6
2019-01-01,96.8
2019-02-01,96.2
2019-03-01,95.6
2019-04-01,96.2
2019-05-01,96.2
2019-06-01,95.7
2019-07-01,95.9
2019-08-01,95.3
2019-09-01,95.0
2019-10-01,95.2
2019-11-01,94.3
2019-12-01,93.3
2020-01-01,95.1
2020-02-01,93.9
2020-03-01,92.9
2020-04-01,90.9
2020-05-01,90.5
2020-06-01,91.6
2020-07-01,92.3
2020-08-01,92.2
2020-09-01,92.2
2020-10-01,92.1
2020-11-01,92.2
2020-12-01,92.1
2021-01-01,94.5
2021-02-01,95.2
2021-03-01,96.4
2021-04-01,97.3
2021-05-01,98.5
2021-06-01,99.5
2021-07-01,100.3
2021-08-01,100.6
2021-09-01,101.9
2021-10-01,103.9
2021-11-01,105.5
2021-12-01,106.5
2022-01-01,108.3
2022-02-01,110.7
2022-03-01,116.7
2022-04-01,117.8
2022-05-01,120.8
2022-06-01,123.8
2022-07-01,123.0
2022-08-01,122.6
2022-09-01,123.4
2022-10-01,123.3
2022-11-01,124.3
2022-12-01,122.0
2023-01-01,120.0
2023-02-01,121.0
2023-03-01,119.5
2023-04-01,118.4
2023-05-01,116.9
2023-06-01,116.4
2023-07-01,118.4
2023-08-01,118.5
2023-09-01,118.5
2023-10-01,118.4
2023-11-01,117.1
2023-12-01,116.8
2024-01-01,117.8
2024-02-01,118.1
2024-03-01,117.4
2024-04-01,117.1
2024-05-01,117.4
2024-06-01,119.3
2024-07-01,120.7
2024-08-01,120.9
2024-09-01,119.7
2024-10-01,118.7
2024-11-01,119.6
2024-12-01,120.1
2025-01-01,117.7
2025-02-01,118.6
2025-03-01,116.2
2025-04-01,114.3
2025-05-01,114.0
2025-06-01,115.9
2025-07-01,116.4
2025-08-01,115.7
2025-09-01,115.2
2025-10-01,115.6
2025-11-01,115.1
2025-12-01,115.7
2026-01-01,115.5
2026-02-01,113.5
2026-03-01,116.9
